Year,Order,Fuel type,WPS,SPS,CCS,CAP,Speed
2020,0,,,,,,20
2021,0,,,,,,20
2022,0,,,,,,20
2023,0,,,,,,20
2024,0,,,,,,20
2025,0,,,,,,20
2026,0,,,,,,20
2027,0,,,,,,20
2028,0,,,,,,20
2029,0,,,,,,20
2030,0,,,,,,20
2031,0,,,,,,20
2032,0,,,,,,20
2033,0,,,,,,20
2034,0,,,,,,20
2035,0,,,,,,20
2036,0,,,,,,20
2037,0,,,,,,20
2038,0,,,,,,20
2039,0,,,,,,20
2040,0,,,,,,20
2041,0,,,,,,20
2042,0,,,,,,20
2043,0,,,,,,20
2044,0,,,,,,20
2045,0,,,,,,20
2046,0,,,,,,20
2047,0,,,,,,20
2048,0,,,,,,20
2049,0,,,,,,20
2050,0,,,,,,20
